X,Y,Z,X,Y,Z,X,Y,Z
1.0355, -14.3120, -1603957.0000,-7.3703, -2353.4550, 12.7657,-2877.6240, -1813.8330, -5412.0220
1.0528, -14.2962, -1607832.0000,-6.5336, -2352.2920, 11.3165,-2861.0610, -1805.6770, -5380.8710
2.1474, -13.3391, -1611484.0000,-5.8644, -2350.8820, 10.1574,-2843.7930, -1797.0550, -5348.3970
2.1607, -13.3251, -1614922.0000,-5.2882, -2348.5020, 9.1594,-2826.2770, -1788.5080, -5315.4530
3.1163, -14.3865, -1618148.0000,-4.8388, -2345.7190, 8.3811,-2807.6480, -1780.4860, -5280.4170
1.1119, -14.2434, -1621172.0000,-4.5935, -2342.1000, 7.9561,-2788.7450, -1771.6800, -5244.8670
1.1244, -14.2325, -1623996.0000,-4.3867, -2337.5250, 7.5979,-2769.9440, -1763.2340, -5209.5040
2.2056, -13.2782, -1626623.0000,-4.3694, -2332.1530, 7.5680,-2750.9880, -1754.5940, -5173.8550
1.1466, -14.2132, -1629064.0000,-4.5395, -2325.9730, 7.8625,-2731.4320, -1746.3900, -5137.0760
1.1565, -14.2046, -1631322.0000,-4.7889, -2318.9420, 8.2946,-2712.8580, -1737.8210, -5102.1420
2.1107, -15.2627, -1633406.0000,-5.2460, -2311.0090, 9.0864,-2693.6680, -1730.0990, -5066.0510
2.2387, -13.2444, -1635318.0000,-5.6786, -2302.2290, 9.8356,-2675.2920, -1721.8650, -5031.4920
2.2454, -13.2377, -1637070.0000,-6.3741, -2292.6500, 11.0403,-2657.1190, -1714.1750, -4997.3130
1.1886, -14.1774, -1638666.0000,-7.1825, -2282.1030, 12.4404,-2639.2900, -1706.9270, -4963.7810
2.2570, -13.2262, -1640109.0000,-7.9895, -2271.5090, 13.8382,-2621.7860, -1700.1830, -4930.8620
3.2080, -14.2826, -1641412.0000,-8.7978, -2260.9770, 15.2383,-2604.7610, -1693.7840, -4898.8410
1.2056, -14.1631, -1642578.0000,-9.7285, -2250.1770, 16.8502,-2588.7730, -1687.6240, -4868.7720
3.2167, -14.2731, -1643617.0000,-10.6947, -2238.8810, 18.5237,-2573.0510, -1682.0980, -4839.2040
3.2203, -14.2691, -1644535.0000,-11.5163, -2228.4410, 19.9466,-2558.0370, -1677.2870, -4810.9670
1.2177, -14.1531, -1645340.0000,-12.4911, -2217.9610, 21.6351,-2543.3130, -1673.0140, -4783.2750
2.2795, -13.2039, -1646035.0000,-13.3754, -2207.9940, 23.1668,-2529.6630, -1669.1410, -4757.6030
3.2285, -14.2602, -1646631.0000,-14.1366, -2198.7220, 24.4853,-2516.3940, -1666.0930, -4732.6470
1.2255, -14.1466, -1647137.0000,-14.9308, -2190.1620, 25.8608,-2503.6810, -1663.7640, -4708.7390
3.2322, -14.2562, -1647559.0000,-15.5354, -2182.6440, 26.9081,-2491.9000, -1661.5230, -4686.5820
2.2866, -13.1969, -1647900.0000,-16.0929, -2175.7340, 27.8737,-2480.6050, -1660.4450, -4665.3370
3.2347, -14.2535, -1648176.0000,-16.5825, -2170.3320, 28.7217,-2470.0930, -1659.2550, -4645.5680
2.1780, -15.1996, -1648389.0000,-16.7706, -2165.7480, 29.0475,-2460.6460, -1658.8650, -4627.8010
2.1788, -15.1989, -1648547.0000,-17.0449, -2162.3240, 29.5225,-2451.7090, -1658.8810, -4610.9930
1.2322, -14.1411, -1648658.0000,-17.0470, -2160.1710, 29.5262,-2443.5210, -1659.1950, -4595.5940
2.2899, -13.1937, -1648732.0000,-16.9986, -2159.2050, 29.4423,-2436.6500, -1659.9040, -4582.6700
2.2901, -13.1936, -1648775.0000,-16.7918, -2159.3660, 29.0841,-2430.7910, -1660.3460, -4571.6510
3.2372, -14.2507, -1648795.0000,-16.4501, -2160.7130, 28.4923,-2425.9880, -1661.3130, -4562.6180
1.2330, -14.1405, -1648801.0000,-16.0342, -2162.8880, 27.7720,-2421.9660, -1662.4400, -4555.0550
2.1800, -15.1977, -1648797.0000,-15.4539, -2166.3550, 26.7669,-2419.3130, -1663.3550, -4550.0650
2.1800, -15.1978, -1648791.0000,-14.8316, -2170.5000, 25.6892,-2417.6690, -1664.7140, -4546.9740
2.2902, -13.1934, -1648789.0000,-14.0303, -2175.4780, 24.3011,-2417.3650, -1665.7420, -4546.4010
2.2902, -13.1934, -1648781.0000,-13.2467, -2181.1980, 22.9438,-2417.8960, -1667.0080, -4547.3990
2.2902, -13.1935, -1648769.0000,-12.3799, -2187.4120, 21.4426,-2419.8880, -1668.0770, -4551.1460
2.1799, -15.1979, -1648752.0000,-11.4160, -2194.2000, 19.7730,-2423.3830, -1669.2170, -4557.7190
